username,userid,hometown
frankiekwuaz,1039518254,"Boston, MA"
danthuyc,144650872,"Miami, FL"
wharton23,36722705,"San Francisco, CA"
avisaraf,189775699,"Edison, NJ"
diana_s_018,27446807,"Milan, IT"
tripwalk,47877154,"Bogota, CO"
dontbesillyhali,1141018798,"San Diego, CA"
oh_livz,415272494,"San Francisco International Airport, US"
anniemorefield,210899179,"East Hampton, Suffolk County"
zbhodges99,1465102397,"Boston, MA"
nicolefranc,6697613,"Boulder, CO"
lucemferre84,8330162,"Moultonborough, NH"
malter12,19160683,"Belleville, NJ"
mattkoran,24857313,"Joliet, IL"
dpdpdpdpdp,23936656,"New York, NY"
li_selena,398477393,"Union, CT"
akeenw,499211184,"Lido Beach, Nassau County"
_kathryncurry,281852189,"Baltimore, US"
hingalinga,16016101,"San Diego, CA"
harrisonchoat,23528825,"New Haven, CT"
al_too_real,19504940,"San Francisco, CA"
lloui,5808553,"Los Angeles, CA"
courtracq,13075008,"Jerusalem, IL"
kcoh8,19744857,"Mount Vernon, NY"
andrewsteele74,277228944,"Singapore, SG"
ccgongi,212865635,
g2binney,53056354,"Watertown, MA"
ampropp,52449842,"Palm Beach Gardens, FL"
conniezhou,5728953,"Beijing, CN"
fitzandgigglez,29525107,"Everett, MA"
alanamiri,6629828,"Stow, MA"
ash_efadk,305879197,"Washington, DC"
goodmoneysnip,146161268,"Boston, MA"
4estlewi,1361582945,"Buenos Aires, AR"
billygadrow,5945921,"Boston, MA"
alex_peed,29868156,"Boston, MA"
monicamarie5,9665116,"Bradbury, CA"
lulu_cia,217531624,"Malden, MA"
phebesteroni,286024809,"Paris, FR"
vea7799,55044705,"New York, NY"
connor_cook,11036931,"Takatsuki, JP"
frappsta,23722235,"Ravenna, IT"
nebbyneb,334628670,"Boston, MA"
willyhoang,34993602,"Los Angeles, CA"
bellanah,366792057,
michael_kikukawa,297930159,"Boston, MA"
carodubon,16731540,"New York, NY"
mooslet7,44837917,
caraclarkadam,643138296,"Pawtucket, RI"
karimatiyeh,4691553,
lisacuesta,32800511,"Boston, MA"
achelkrueg,256848547,"Boulder, CO"
oseman,5264132,"Washington, DC"
arahgroh89,41410617,"Brookline, MA"
keren3422,1021878248,"Boston, MA"
ouyangeric,179383988,"Somerville, MA"
ophie_barnesandnobl,18922558,"Hong Kong, HK"
alex_rock_,185289040,"Coral Gables, FL"
ueann_yong,267775890,"Kuala Lumpur, MY"
ayatang,204681742,
iccccckl,43258601,"Everett, MA"
jpatrickfitzpatrick,342475295,"Boston, MA"
kroth,783017328,"Chappaqua, Westchester County"
chchayek,13991063,"Washington, DC"
lexieshack,198472710,"Hong Kong, HK"
keatonlaub,7202730,"Water Mill, Suffolk County"
gabriellegcasey,522921746,"Ventura, CA"
marianne.muona,1453055863,"New York, NY"
mily_,26530371,"New York, NY"
tant2,10962843,"Metairie, LA"
helbymartinez1996,49111936,"Trophy Club, TX"
klorchhh,25749133,"Paris, FR"
jlpulic,543213202,"New York, NY"
outtyy,44282579,"Newton, MA"
miaveetahlay,499239185,"Sawyer, MI"
lolinto2,19394861,"Lincolndale, Westchester County"
laugenfac,54876292,"New York, NY"
ickimgram,1388106883,"Paris, FR"
dankasn,1189678,"Montreal, CA"
wyattwp,17968626,"Louisville, KY"
arahchapman_,983344835,"Boston, MA"
michellelg31,190402014,"Washington, DC"
fss1111,18186504,"Boston, MA"
aott4,269597785,"Brookline, MA"
madison_r_rich,144730687,"Fort Worth, TX"
_bitt,178588248,"Toronto, CA"
anjaypmisra,337944477,"Glocester, RI"
vitkayashka,41522112,"Los Angeles, CA"
thejuliasenio,308612414,"New York, NY"
juliepark2706,1695651,"Wyandanch, Suffolk County"
milyebergquist,45951726,
hsvchang,212780590,"Beijing, CN"
frannyco,27261401,"New York, NY"
tingzhou,4573808,"Kokomo, Howard County"
kemannion1020,38708060,"Boston, MA"
jsshi,31483292,"London, GB"
greergardn,11213312,"Washington, DC"
xospenc,26200624,"Bethesda, Montgomery County"
julia8117,50879520,"Boston, MA"
kgund77,244115946,"Massapequa Park, Nassau County"
haleydavis_,8546785,"Rancho Santa Margarita, CA"
